,id,title,image_url,recipe_url,rating_avg,rating_val,total_time,category,cuisine,ingredients
0,1,A classic sponge cake,https://food-images.files.bbci.co.uk/food/recipes/aclassicspongecakewi_9406_16x9.jpg,https://www.bbc.co.uk/food/recipes/aclassicspongecakewi_9406,4.285714286,7,90,Cakes and baking, ,"passion fruit, fromage frais, egg, mascarpone, caster sugar, baking powder, self-raising flour, vanilla extract, butter"
1,2,Adaptable bean soup,https://food-images.files.bbci.co.uk/food/recipes/nigelsadaptablebeans_92230_16x9.jpg,https://www.bbc.co.uk/food/recipes/nigelsadaptablebeans_92230,5,11,60,Light meals & snacks, ,"orange, swiss chard, onion, carrot, tomato, olive oil, parmesan, parsley, black pepper, bay leaf, vegetable stock, cannellini beans, French bread"
2,3,Affogato,https://food-images.files.bbci.co.uk/food/recipes/affogato_72443_16x9.jpg,https://www.bbc.co.uk/food/recipes/affogato_72443,4,6,30,Desserts,Italian,"ice cream, coffee granules"
3,4,Albanian baked lamb with rice (Tavë kosi),https://food-images.files.bbci.co.uk/food/recipes/albanian_baked_lamb_with_92485_16x9.jpg,https://www.bbc.co.uk/food/recipes/albanian_baked_lamb_with_92485,4.611111111,18,150,Main course,East European,"lamb shoulder, garlic, olive oil, egg, yoghurt, black pepper, nutmeg, oregano, long-grain rice, butter, plain flour"
4,5,All-day breakfast frittata,https://food-images.files.bbci.co.uk/food/recipes/all-day_breakfast_12416_16x9.jpg,https://www.bbc.co.uk/food/recipes/all-day_breakfast_12416,5,10,60,Main course, ,"bacon, potato, cherry tomatoes, mushroom, spinach, vegetable oil, egg, black pepper"
5,6,All-in-one turkey,https://food-images.files.bbci.co.uk/food/recipes/all-in-one_turkey_43248_16x9.jpg,https://www.bbc.co.uk/food/recipes/all-in-one_turkey_43248,5,3,180,Main course,British,"turkey breast, pancetta, dried apricots, apple, garlic, red onion, shallot, spinach, chestnut mushrooms, olive oil, double cream, mascarpone, flour, sugar, parsley, black pepper, nutmeg, rosemary, sage, chicken stock, calvados, white wine, cider, breadcrumbs, butter"
6,7,All-in-one white sauce,https://food-images.files.bbci.co.uk/food/recipes/allinonewhitesauce_66114_16x9.jpg,https://www.bbc.co.uk/food/recipes/allinonewhitesauce_66114,4,4,60,Other, ,"milk, black pepper, butter, plain flour"
7,8,Almond lentil stew,https://food-images.files.bbci.co.uk/food/recipes/almond_lentil_stew_69086_16x9.jpg,https://www.bbc.co.uk/food/recipes/almond_lentil_stew_69086,4.583333333,12,90,Main course, ,"garlic, onion, carrot, celery, cherry tomatoes, mushroom, turnip, olive oil, thyme, cinnamon, bay leaf, rosemary, vegetable stock, almond, green lentil"
8,9,Almond tart,https://food-images.files.bbci.co.uk/food/recipes/almond_tart_40368_16x9.jpg,https://www.bbc.co.uk/food/recipes/almond_tart_40368,4.888888889,9,120,Cakes and baking,Portuguese,"egg, milk, caster sugar, flaked almonds, butter, plain flour"
9,10,Aloo gobi ,https://food-images.files.bbci.co.uk/food/recipes/aloo_gobi_41709_16x9.jpg,https://www.bbc.co.uk/food/recipes/aloo_gobi_41709,4.444444444,9,90,Main course,Indian,"garlic, onion, chilli pepper, potato, cauliflower, vegetable oil, salt, ginger, cumin, coriander, turmeric, garam masala, star anise, butter"
